WordContent,sentences,index
मात्रा,"अल्पजननग्रंथि वाले पुरुषों में टेस्टोस्टेरोन से अस्थि की मात्रा और गुणवत्ता में सुधार दिखाई दिया है , लेकिन यथा 2008 , फ़्रैक्चर या पुरुषों में टेस्टोस्टेरोन पर एक सामान्य स्तर के साथ प्रभाव का कोई अध्ययन कर रहे हैं ।",614
मात्रा,जिन लोगों को ऑस्टियोपोरोसिस का अधिक ख़तरा है ( पचास साल की उम्र के बाद ) उनके लिए अमेरिकी स्वास्थ्य एजेंसियों द्वारा सुझाई गई मात्रा 1200 एमजी प्रति दिन है ।,622
आमतौर,"पोलियो टीके की पहली खुराक जन्म के बाद शीघ्र ही , आमतौर पर १ से २ महीने की उम्र के बीच और , एक दूसरी खुराक 4 महीने की उम्र में दी जाती है ।",101
आमतौर,आमतौर पर टीबी के लक्षण उपचार शुरू होने के कुछ सप्ताह में ही कम होने लगते हैं और इस समय कई रोगी लापरवाह हो जाते हैं और दवा लेना बंद कर देते हैं ।,111
आमतौर,"एक वर्ग के भीतर एक दवा के लिए प्रतिरोध का अर्थ है कि आमतौर पर उस वर्ग में सभी दवाओं के लिए प्रतिरोध होता है , परन्तु रिफाम्पिसिन एक उल्लेखनीय अपवाद है ।",148
आमतौर,"इसमें यह तथ्य भी शामिल है कि जिन क्षेत्रों में डॉट्स रणनीति का उपयोग नहीं किया जाता , वहां आमतौर पर सुरक्षा के कम मानक उपलब्ध कराये जाते हैं ।",172
आमतौर,लेकिन इससे ऐसा नहीं कहा जा सकता कि उपचार विफल हो रहा है और यह आमतौर पर रोगियों में ( और उनके चिकित्सकों में ) अनावश्यक दहशत भी पैदा करता है ।,192
आमतौर,"टीबी सेरेब्रिटिस ( या मस्तिष्क की टीबी ) में निदान के लिए मस्तिष्क की बायोप्सी की आवश्यकता हो सकती है , क्योंकि सीएसएफ आमतौर पर सामान्य होता है ।",204
बात,"चार साल बाद , 1954 में ब्रिटिश डॉक्टरों के एक अध्ययन , यह अध्ययन 40 हजार डॉक्टरों द्वारा 20 से भी अधिक वर्षों तक किया गया था , ने इस बात की पुष्टि की जिसके आधार पर सरकार ने सलाह जारी की कि धूम्रपान और फेफड़ों के कैंसर का आपस में संबंध था ।",45
बात,"वास्तव में बात यह है कि अगर आरएमपी को वसा के साथ लिया जाये तो इसके अवशोषण की गति धीमी हो जाती है , लेकिन प्रोटीन , कार्बोहाइड्रेट और अम्लरोधी इसके अवशोषण को प्रभावित नहीं करते हैं ।",122
बात,MDR - टीबी के संदेह के बावजूद रोगी को INH पर रखने का कारण यह है कि INH टीबी के उपचार में इतनी शक्तिशाली है कि इसे हटाना मूर्खता होगी जब तक इस बात का सूक्ष्मजैविक प्रमाण न मिल जाये कि यह अप्रभावी है ।,144
बात,यदि उपचार के लिए पांच दवाएं ढूंढना मुश्किल है तो चिकित्सक इस बात का अनुरोध कर सकता है कि उच्च स्तरीय INH - प्रतिरोध की जांच की जाये ।,151
बात,"इस असामान्यता का चिकित्सकीय प्रगति या परिणाम से कोई सम्बन्ध नहीं होता , और यह इस बात को इंगित नहीं करता कि उपचार को आगे और बढ़ाने की या दोहराने की कोई आवश्यकता है ।",211
बात,"अधिकतर धूम्रपान करने वाले सामजिक परिवेश में धूम्रपान आरम्भ करते हैं और कई मामलों में सिगरेट पेश करना किसी बार , नाईट क्लब , काम करने की जगह या सड़क पर एक नई पहल को शुरू करने या अजनबी से बात करने का अच्छा बहाना हो सकता है ।",300
10,"महामारी वाले क्षेत्र में प्रायः उपचार संतोषजनक नहीं हो पाता , अतः मृत्यु दर काफी ऊँची होती है और मलेरिया के प्रत्येक 10 मरीजों में से 1 मृत्यु को प्राप्त होता है ।",260
10,"रोहिणी या डिप्थीरिया ( Diphtheria ) उग्र संक्रामक रोग है , जो 2 से लेकर 10 वर्ष तक की आयु के बालकों को अधिक होता है , यद्यपि सभी आयुवालों को यह रोग हो सकता है ।",393
10,"लगभग 8 से 10 दिनों के बाद वायरस , मच्छर की लार ग्रंथियां जो लार ( या "" थूक "" ) बनाती हैं , उनमें संक्रमित हो जाते हैं ।",498
10,अंडे -JOIN लारवा -JOIN प्यूपा और फिर वयस्क होने में मच्छर लगभग 10 - 14 दिन का समय लेते हैं ।,531
10,डेंगू वायरस से संक्रमित लगभग 80 % लोगों ( प्रत्येक 10 लोगों में से 8 ) में कोई लक्षण नहीं होते हैं या बेहद हल्के लक्षण ( जैसे कि मूलभूत बुख़ार ) होते हैं ।,600
10,"अगर किसी ऐसे रोगी को आइसोनियाज़िड प्रतिरोधी टीबी के विभेद से संक्रमित पाया जाता है जो 2 माह के लिए HREZ को पूरा कर चुका है , तो उसे अगले 10 माह के लिए बदल कर औषधि दी जाती है ।",748
टीका,एक मौखिक टीका अल्बर्ट साबिन द्वारा तनु ( कमजोर किये गए ) पोलियो वायरस का उपयोग करके विकसित किया गया ।,54
टीका,"टीकाकरण द्वारा पोलियो के प्रति रोग क्षमता को विकसित करने से जंगली पोलियो वायरस का व्यक्ति से व्यक्ति संचरण कुशलतापूर्वक ब्लॉक हो जाता है , जिससे व्यक्तिगत टीका प्राप्तकर्ताओं और व्यापक समुदाय , दोनों की सुरक्षा होती है ।",61
टीका,"२१०,००० बच्चों को प्लासेबो , जिसमें हानिरहित मीडिया समूह शामिल था , दिया जा चुका था , और 12 लाख बच्चे जिन्हें कोई भी टीका नहीं लगाया गया था ।",93
टीका,"तीसरी खुराक का समय टीका निरूपण पर निर्भर करता है , लेकिन यह ६ से १८ महीने की उम्र के बीच दे देना चाहिए ।",102
टीका,"४ से ६ साल की उम्र के बीच एक बूस्टर टीका दिया जाता है , जो कि स्कूल जाने तक या उस से पहले दिए जाने वाले कुल ४ टीकों में होता है ।",103
टीका,"वेल्स में वाइगोल जॉन ब्राइट और वाइगोल फॉर्ड डफरिन को यह बीमारी हुई थी , इसलिए वे पूरी कोशिश करते थे कि हर बच्चे को खसरे का टीका लगे ।",267
महत्वपूर्ण,"इसलिए , टीकाकरण के द्वारा वायरस का व्यक्ति से व्यक्ति में संचरण की रोकथाम वैश्विक पोलियो उन्मूलन का एक महत्वपूर्ण कदम है ।",57
महत्वपूर्ण,"पोलियो वायरस के विकास के अन्य महत्वपूर्ण अग्रगणि थे : तीन पोलियो वायरस ( serotype ) की पहचान ( पोलियो वायरस प्रकार १ - PV1 , या Mahoney ; PV2 , Lansing और PV3 , Leon ) ।",70
महत्वपूर्ण,"उपचार को पूरा किया जाना बहुत महत्वपूर्ण है , क्योंकि ऐसा न करने से रोग फिर से हो सकता है और दवा के लिए प्रतिरोध भी उत्पन्न हो सकता है ।",114
महत्वपूर्ण,"हालांकि , अन्य चिकित्सीय स्थितियों वाले , बुजुर्ग या श्वसन में महत्वपूर्ण कठिनाई वालों को अधिक गहन देखभाल की आवश्यकता पड़ती है ।",385
महत्वपूर्ण,इसका अर्थ है कि महत्वपूर्ण ( सबसे महत्वपूर्ण ) अंगों को उनकी आवश्यकता के अनुसार आम तौर पर रक्त नहीं मिलता है ।,467
महत्वपूर्ण,ऐसा तब भी हो सकता है जब महत्वपूर्ण अंग सही ढंग से काम न कर रहे हों ।,482
श्वसन,"हालांकि , अन्य चिकित्सीय स्थितियों वाले , बुजुर्ग या श्वसन में महत्वपूर्ण कठिनाई वालों को अधिक गहन देखभाल की आवश्यकता पड़ती है ।",385
श्वसन,श्वसन परेशानी या ऑक्सीजन संतृप्तता के 90 % से कम होने पर बच्चों को अस्पताल में भर्ती किया जाना चाहिये ।,390
श्वसन,"इन समस्याओं में अन्य समस्याओं के साथ एम्पाइयेमा , फेफड़ा एब्सेस , ब्रॉन्कियोलिटिस ऑब्लिटरान्स , गंभीर श्वसन समस्या सिन्ड्रोम , सेप्सिस और अंतर्निहित स्वास्थ्य समस्याओं की स्थितियों का जटिल होना शामिल है ।",888
श्वसन,निमोनिया गंभीर श्वसन respiratory distress सिन्ड्रोम ( एआरडीएस ) को शुरु करके श्वसन विफलता पैदा कर सकता है जो संक्रमण और सूजन के संयोजन की प्रतिक्रिया का परिणाम होता है ।,901
श्वसन,इस सख्ती के साथ एल्वियोलर तरल के कारण ऑक्सीजन निष्कर्षण में गंभीर कठिनाइयों के संयोजन के चलते उत्तरजीविता हेतु लंबी अवधि के लिये यांत्रिक श्वसन की आवश्यकता पड़ सकती है ।,903
श्वसन,"माइमोनिडस ( 1135 – 1204 ईस्वी ) ने देखा : "" निमोनिया के मूल लक्षण निम्नलिखित हैं : तीव्र बुखार , एक ओर फेफड़े में श्वसन में दर्द , छोटी व तेज़ सांसें , ऊपर नीचे होती नाड़ी और खांसी । """,1087
लेने,यह निष्कर्ष कि पक्षाघात से पहले वायरस का रक्त में मौजूद होना ज़रूरी है और यह स्पष्टीकरण कि एंटीबॉडी की खुराक गामा - ग्लोबुलिन के रूप में लेने से पक्षाघाती पोलियो से बचा जा सकता है ।,71
लेने,एक दूसरी शिकायत यह रहती है कि इस दवा को खाली पेट लेने की सलाह दी जाती है जिससे इसका अवशोषण जल्दी हो ।,119
लेने,"यह रोगियों के लिए कई बार मुश्किल हो जाता है ( उदाहरण के लिए , पारी में काम करने वाले लोग जो अपना भोजन अनियमित समय पर खाते हैं ) और इसलिए रोगी को सिर्फ दवा लेने के लिए अपनी दिनचर्या से एक घंटा जल्दी जागना पड़ता है ।",120
लेने,या रोगी के द्वारा उपचार को ठीक प्रकार से न लेने के कारण ऐसा हुआ ।,126
लेने,विशेषज्ञ केन्द्रों में उपचार लेने वाले रोगियों की तुलना में गैर विशेषज्ञ केन्द्रों में उपचार लेने वाले रोगियों में मृत्यु दर अधिक पाई गयी है ।,137
लेने,सीएनएस टीबी रक्त से फैलने की दृष्टि से माध्यमिक हो सकता है : इसलिए कुछ विशेषज्ञ मिलियरी टीबी के रोगियों में सीएसएफ के सेम्पल नियमित रूप से लेने की सलाह देते हैं ।,216
रहता,टीबी मेनिनजाईटिस का उपचार किये जाने के बाद भी रोगी का सीएसएफ 12 माह तक असामान्य रहता है ।,210
रहता,"अपवाद - स्वरूप अफ्रीका में नगर - ग्रामीण सभी क्षेत्र इस से ग्रस्त हैं , यद्यपि बड़े नगरों में खतरा कम रहता है ।",236
रहता,रोगी को ज्वर 1000 - 1020 फा0 तक रहता है ।,417
रहता,"कभी - कभी स्वरयंत्र आक्रांत हो जाता है , जिससे श्वासावरोध का डर रहता है ।",430
रहता,सबसे पहले वायरस उन कोशिकाओं में रहता है जो मच्छर के पेट में होती हैं ।,497
रहता,यदि किसी व्यक्ति को इनमें से किसी एक प्रकार के वायरस का संक्रमण हो जाये तो आमतौर पर उसके पूरे जीवन में वह उस प्रकार के डेंगू वायरस से सुरक्षित रहता है ।,583
मच्छरों,"गर्भवती स्त्रियाँ मच्छरों के लिए बहुत आकर्षक होती हैं और मलेरिया से गर्भ की मृत्यु , निम्न जन्म भार और शिशु की मृत्यु तक हो सकते हैं ।",265
मच्छरों,इनमें से अधिकतर वायरस मच्छरों या टिक द्वारा फैलते हैं ।,490
मच्छरों,"डेंगू वायरस , अधिकतर "" एडीज़ "" मच्छरों द्वारा संचरित ( या फैलता ) होता है , विशेष रूप से "" एडीज़ आएजेप्टी "" प्रकार के मच्छर से ।",491
मच्छरों,कभी - कभार मच्छरों को भी मानवों से डेंगू मिल सकता है ।,495
मच्छरों,"वायरस उन संक्रमित मच्छरों के लिये कोई समस्या पैदा नहीं करते दिखते हैं , जो अपने पूरे जीवन भर संक्रमित रहेंगे ।",501
मच्छरों,लोग मच्छरों पर नियंत्रण पाने वैक्सीन बनाने तथा वायरस से लड़ने के लिये दवाएं बनाने पर कार्य कर रहे हैं ।,557
संभावना,"जो रोगी टीबी का उपचार नियमित रूप और भरोसे के साथ नहीं करते हैं , उनमें उपचार की विफलता की संभावना बहुत अधिक बढ़ जाती है , उनमें रोग के फिर से होने , या दवा प्रतिरोधी टीबी विभेद उत्पन्न हो जाने की संभावना भी बहुत अधिक होती है ।",109
संभावना,"कुछ प्राधिकरणों के अनुसार यकृत रोगियों में पीजेडए का उपयोग नहीं किया जाना चाहिए , क्योंकि पहली पंक्ति की दवा पीजेडए के कारण हैपेटाइटिस होने की संभावना अधिक होती है ।",165
संभावना,हालांकि अगर डॉट्स कार्यक्रम को लागू नहीं किया जाता या गलत तरीके से लागू किया जाता है तो सकारात्मक परिणामों की संभावना नहीं रहती है ।,174
संभावना,मलेरिया और एच.आई.वी. का एक साथ संक्रमण होने से मृत्यु की संभावना बढ़ जाती है ।,228
संभावना,बच्चों में दिमागी मलेरिया होने की संभावना अधिक रहती है और ऐसा होने पर दिमाग में रक्त की आपूर्ति कम हो सकती है और अक्सर मस्तिष्क को सीधे भी हानि पहुँचाती है ।,262
संभावना,"प्रतिदिन एक सिगरेट पीने से धूम्रपान करने वाले व्यक्ति के लिए , धूम्रपान ना करने वाले व्यक्ति की अपेक्षा दिल के दौरे की संभावना पचास प्रतिशत है ।",320
माह,उपचार कम से कम 18 माह की अवधि का होता है और इसमें प्रत्यक्ष प्रेक्षण का अवयव उपचार की सफलता को 69 प्रतिशत तक बढ़ा सकता है ।,135
माह,"उपचार के लिए क्या प्रतिक्रिया हो रही है , इसका पता लगाने के लिए बार बार थूक का कल्चर किया जा सकता है ( अगर संभव हो तो हर माह इसे करना चाहिए ) ।",159
माह,अगर कल्चर सकारात्मक है और उपचार के तीन माह बाद रोग के लक्षण फिर से प्रकट नहीं होते तो दवा प्रतिरोधी रोग के लिए या किसी दवा के काम ना करने पर रोगी की पुनः - जांच आवश्यक है ।,184
माह,"अगर तीन माह की थेरेपी के बाद भी कल्चर नकारात्मक में नहीं बदलता , तो कुछ चिकित्सक रोगी को भर्ती कर लेते हैं ताकि उसकी उपचार प्रक्रिया पर बारीकी से निगरानी रखी जा सके ।",185
माह,"यह कहना यादृच्छिक नियंत्रित परीक्षण से एक अच्छा प्रमाण है कि ट्युबरकुलोसिस लिम्फेडेनीटिस में और मेरुरज्जु कि टीबी में , छह माह का उपचार नौ माह की अवधि के उपचार के बराबर है ; इसलिए संयुक्त राज्य अमेरिका की सलाह को प्रमाणों का समर्थन प्राप्त नहीं है ।",189
माह,"ऐसा भी संभव है कि टीबी मेनिनजाईटिस के उपचार के लिए छोटी अवधि ( जैसे छह माह ) की चिकित्सा पर्याप्त हो , लेकिन कोई चिकित्सकीय परीक्षण इसे प्रमाणित नहीं करता है ।",209
1,"Mahoney ( प्रकार 1 पोलियो वायरस ) , MEF - 1 ( प्रकार 2 पोलियो वायरस ) और Saukett ( प्रकार 3 पोलियो वायरस ) , जिन्हें बन्दर के गुर्दे के ऊतक समूह ( वेरो सेल रेखा ) के एक प्रकार में उगाया गया था और उसके बाद उन्हें फोर्मलिन से निष्क्रिय किया गया ।",86
1,"सॉल्क वैक्सीन PV1 1 ( प्रकार 1 पोलियो वायरस ) के विरुद्ध 60 से ७० % कारगर है , PV2 और PV3 के विरुद्ध ९० प्रतिशत से ज्यादा कारगर है , और कंदाकार पोलियो के विकास के विरुद्ध ९४ प्रतिशत तक कारगर है ।",96
1,"महामारी वाले क्षेत्र में प्रायः उपचार संतोषजनक नहीं हो पाता , अतः मृत्यु दर काफी ऊँची होती है और मलेरिया के प्रत्येक 10 मरीजों में से 1 मृत्यु को प्राप्त होता है ।",260
1,"1 जनवरी और 25 अप्रैल 2008 के बीच संयुक्त राष्ट्र में खसरे के 64 मामलों की पुष्टि हुई और सेंटर फॉर डिसिज़ कंट्रोल एंड प्रीवेंशन को दर्ज किया गया , जो 2001 के बाद से किसी भी वर्ष में दर्ज की गयी रिपोर्ट में सबसे अधिक है ।",280
1,मुख्य रूप से तम्बाकू का धूम्रपान एक ऐसी प्रक्रिया है जो 1.1 बिलियन लोगों द्वारा की जाती है और इसका 1 / 3 भाग व्यस्क आबादी है ।,297
1,संयुक्त राज्य अमेरिका में प्रति वर्ष लगभग 500000 मौतें तम्बाकू संबंधित बीमारियों के कारण होती हैं और एक ताज़ा अध्ययन का अनुमान है कि चीन के पुरुषों के 1 / 3 भाग ने धूम्रपान के कारण अपना जीवनकाल घटा लिया है ।,315
वर्ष,"फिलाडेल्फिया के रोगविज्ञानी जॉन कोल्मेर ने भी उसी वर्ष एक teeka बनाने का दावा किया , लेकिन उससे भी प्रतिरोधकता उत्पन्न नहीं हुई और उन्हें कई मामले प्रवृत करने का दोषी ठहराया गया , जिनमें से कुछ जानलेवा थे ।",66
वर्ष,"एंडर्स और उनके सहयोगियों , थॉमस एच. सी. वेलर और फ्रेडरिक रॉबिंस द्वारा की गयी मेहनत को मान्यता देने के लिए उन्हें वर्ष १९५४ में फिजियोलॉजी या चिकित्सा का नोबेल पुरस्कार दिया गया ।",69
वर्ष,"संयुक्त राज्य अमेरिका में जंगली वायरस के स्थानिक संचरण के कारण लकवाग्रस्त पोलिओम्येलितिस के प्रकोप के कुछ आखिरी मामले वर्ष 1979 में मिडवेस्ट के भिन्न राज्यों , जिनमें से अमिश भी एक था , में दर्ज किये गए ।",73
वर्ष,"इनमें से ज्यादातर पाँच वर्ष से कम आयु वाले बच्चें होते हैं , वहीं गर्भवती महिलाएँ भी इस रोग के प्रति संवेदनशील होती हैं ।",224
वर्ष,"1 जनवरी और 25 अप्रैल 2008 के बीच संयुक्त राष्ट्र में खसरे के 64 मामलों की पुष्टि हुई और सेंटर फॉर डिसिज़ कंट्रोल एंड प्रीवेंशन को दर्ज किया गया , जो 2001 के बाद से किसी भी वर्ष में दर्ज की गयी रिपोर्ट में सबसे अधिक है ।",280
वर्ष,"इनमें से कुछ एक वर्ष की आयु से कम के थे और इतनी कम उम्र के थे जब टीकाकरण की सिफारिश की जाती है , लेकिन 63 मामलों में धार्मिक या दार्शनिक कारणों से टीकाकरण कराने से मना कर दिया गया था ।",290
सलाह,"चार साल बाद , 1954 में ब्रिटिश डॉक्टरों के एक अध्ययन , यह अध्ययन 40 हजार डॉक्टरों द्वारा 20 से भी अधिक वर्षों तक किया गया था , ने इस बात की पुष्टि की जिसके आधार पर सरकार ने सलाह जारी की कि धूम्रपान और फेफड़ों के कैंसर का आपस में संबंध था ।",45
सलाह,विकसित देशों में वयस्कों ( 18 साल और उससे बड़ी आयु ) का नियमित टीकाकरण न तो ज़रूरी है और न ही इसकी सलाह दी जाती है क्योकि ज्यादातर व्यस्क या तो पहले से ही उन्मुक्त हैं या फिर जंगली पोलियो विषाणु के प्रति उनकी अरक्षितता का जोखिम बहुत कम है ।,105
सलाह,"स्टेरॉयड पेरिटोनिटिस , मिलियरी रोग , स्वरयंत्र का टीबी , लिम्फेडेनीटिस और मूत्रजन यह पूर्ण रूप से प्रमाणित नहीं है और स्टेरॉयड के नियमित उपयोग की सलाह नहीं दी जा सकती ।",106
सलाह,एक दूसरी शिकायत यह रहती है कि इस दवा को खाली पेट लेने की सलाह दी जाती है जिससे इसका अवशोषण जल्दी हो ।,119
सलाह,अमेरिकी दिशानिर्देशों के अनुसार गर्भावस्था में टीबी के उपचार के दौरान पीजेडए का उपयोग नहीं करने की सलाह दी जाती है ; संयुक्त राष्ट्र और विश्व स्वास्थ्य संगठन के द्वारा ऐसे दिशानिर्देश नहीं दिए गए हैं ।,171
सलाह,संयुक्त राष्ट्र और डब्ल्यूएचओ 2HREZ / 4HR को सलाह देते हैं ; संयुक्त राज्य अमेरिका में 2HREZ / 7HR की सलाह दी जाती है ।,188
पीड़ित,"उदाहरणार्थ वियतनाम , लाओस और कम्बोडिया के नगर मलेरिया मुक्त हैं , जबकि इन देशों के गाँव इस से पीड़ित हैं ।",235
पीड़ित,"वे लोग जो उपचार के प्रति प्रतिक्रिया नहीं देते हैं उनमें बलगम कल्चर पर विचार किया जाना चाहिये और गंभीर उत्पादक कफ़ से पीड़ित लोगों में "" माइक्रोबैक्टीरियम ट्यूबक्यूलोसिस "" के लिये कल्चर किया जाना चाहिये ।",350
