WordContent,sentences
అవసరం,దీనికి పెద్ద చోటు అవసరం లేదు .
అవసరం,గర్భంతో ఉన్నప్పుడు ఆమెకు ణూLL ఇద్దరి ఆహారం అవసరం .
ఉంటాయి,మనకు చాలా ఆలోచనలు ఉంటాయి .
ఉంటాయి,వీర్య కణాలు రెండు రకాలు ఉంటాయి .
ఉంటాయి,చెట్టు నిండా కాయలు ఉంటాయి
ఉంటాయి,శరీరమంతా రక్తనాళాలు ఉంటాయి .
ఉంటాయి,ఇలా కొన్ని గంటలు ఉంటాయి .
ఉంటాయి,ఈ పద్ధతిలో ఇనుప బోనులు వరుసగా ఉంటాయి .
ఇప్పుడు,ఇప్పుడు అతనిని తీసుకొని వెళ్లటానికి వెతుకుతూ ఇక్కడకు స్వయంగా వచ్చిందని చెప్పినాడు .
ఇప్పుడు,నాకు ఇప్పుడు అనుమానమే .
ఇప్పుడు,ఇప్పుడు ఇక్కడ ఒంటరిగా పని జరగటం .
ఇప్పుడు,""" ఇప్పుడు నేను ఒంటరిగా ఉన్నాను ."
ఇప్పుడు,ఇప్పుడు నాకు భయం వేస్తుంది .
ఇప్పుడు,ఇప్పుడు తులసికి నయమయింది .
ఇలా,మనం బతికి ఉన్నంత కాలం ఇలా జరుగుతుంది .
ఇలా,ఊపిరి ఇలాగే అందుతుంది .
ఇలా,ఇలా కొన్ని గంటలు ఉంటాయి .
ఇలా,గోపాలంను తమకు కాకుండా చేయాలి . అనే ఇలా చేశారు . అని సోములు అలివేలు ణూLL అనుమానం ణూLL .
ఇలా,ఇలా పాలు పెరుగుతాయి .
ఇలా,ఇలా నీళ్లను చల్లుతారు .
నీళ్లు,"మల బద్దకానికి బొప్పాయి పాలు , నీళ్లు , తేనె కలిపి తాగండి ."
నీళ్లు,మనం వాడిన నీళ్లు చెట్టుకు పారేటట్టు చేసుకుంటే .
నీళ్లు,కొబ్బరి చెట్టు బాగా కాయాలంటే నీళ్లు బాగా ఉండాలి .
నీళ్లు,మనం వాడుకునే నీళ్లు చెట్టుకు అందేటట్టు చేసుకుంటే .
నీళ్లు,మనం వాడిన నీళ్లు ఈ గుంటలో పడేటట్టు చేయాలి .
నీళ్లు,కానీ గోతిలో నీళ్లు చేరాయి .
తన,తన గోడు చెప్పుకుంది .
తన,తన తప్పు తెలుసుకున్నాడు .
తన,ముసలితనంలో ఇంత కూడు పెడతాడు .
తన,గంజాయి దొంగతనం చాలా ఎక్కువగా జరుగుతుండేది .
తన,ఒకసారి నావైపు చూసింది కాని మాట వినిపించలేదేమో తన ఆలోచనలలో నడుస్తూ వెళుతుంది .
తన,ఆమె తన మూటమీద చేయి వేయనీయటం .
సోములు,వెంకటాపురంలో సోములు ఉండేవాడు .
సోములు,సోములు ఏ పనీ చేసేవాడు .
సోములు,అని సోములు అనేవాడు .
సోములు,సోములు వినేవాడు .
సోములు,చివరికి పోచాలు సోములుతో విసిగిపోయాడు .
సోములు,సోములుకు పెళ్లి చేయాలి .
నా,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?
నా,అయిదేళ్లలోపు ఆడపిల్లలు మరీ ఎక్కువగా చనిపోతున్నారు .
నా,ప్రపంచంలో ఎక్కడైనా ఇంతే అనుకోనేరు .
నా,అక్కడ జనాభాలో ఆడవాళ్లూ ణూLL మగవాళ్లూ సమానం ణూLL .
నా,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
నా,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
"""","ఇట్లా అన్నాడు "" అయిపోయింది ."
"""","అప్పుడు నేను అన్నాను "" మనకు పెద్దవాళ్లు ఇచ్చింది చాలా ఉంది ."
"""","ఇది మనకు సరిపోతుంది """
"""","పువ్వులు పుసేసరకి నేను తిరిగి "" అని చెప్పి బయలుదేరి ."
"""",""" నన్ను పోలీసులు ఒక విషయంలో అన్యాయంగా పట్టుకున్నారు ."
"""",""" డబ్బుకి రశీదు వచ్చింది ."
ఎక్కువ,అయిదేళ్లలోపు ఆడపిల్లలు మరీ ఎక్కువగా చనిపోతున్నారు .
ఎక్కువ,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
ఎక్కువ,అలిసిపోవడం ఎక్కువ ణూLL .
ఎక్కువ,ఎక్కువ జాగ్రత్తలూ అవసరమే ణూLL .
ఎక్కువ,ఎక్కువ ఆహారం ఇస్తే సరిపోదు .
ఎక్కువ,గంజాయి దొంగతనం చాలా ఎక్కువగా జరుగుతుండేది .
పని,ఆడవాళ్లకు మగవాళ్లతో సమానంగా పనిచేసే హక్కు ఉండాలి .
పని,కూరకోసం వెతికే పని ఉండదు .
పని,నేను ఎందుకు పని చేయాలి .
పని,పని చేసి బతుకు అనేవాడు .
పని,ధనవంతునివి కావాలి అంటే పని చేయాలి .
పని,పని చేయించాలి .
వస్తుంది,ఆడవాళ్లకు నెలా నెలా అండం వస్తుంది .
వస్తుంది,ఇది నలభై ఏళ్లుదాటాక వస్తుంది .
వస్తుంది,అందుకే వాళ్లకు రక్తపోటు వస్తుంది .
వస్తుంది,రక్తపోటు ఎలా వస్తుంది .
వస్తుంది,రక్తపోటు ఎలా వస్తుంది ?
వస్తుంది,రక్తపోటు ఎందుకు వస్తుంది .
ఉండాలి,తగినంత తీరిక ఉండాలి .
ఉండాలి,ఆడవాళ్లకు మగవాళ్లతో సమానంగా పనిచేసే హక్కు ఉండాలి .
ఉండాలి,"మగవాళ్లతో సమానమైన కూలి , జీతం ఉండాలి ."
ఉండాలి,అది సంతోషంగా ఉండాలి .
ఉండాలి,అరటికి తడి ఆరకుండా నీరు ఉండాలి .
ఉండాలి,కొబ్బరి చెట్టు బాగా కాయాలంటే నీళ్లు బాగా ఉండాలి .
ఆమె,అసలైన ఆరోగ్యం కావాలంటే ఆమెకు ఆహారం కావాలి .
ఆమె,గర్భవతి కావాలో ఆమె నిర్ణయించుకొనే వీలుండాలి .
ఆమె,అవసరం లేనపుడు కాకుండేందుకు మార్గం ఏదో ఆమెకు తెలిసి .
ఆమె,ఇవన్నీ ఉంటే గర్భవతి కావడం ఆమెకో పండుగ ణూLL .
ఆమె,"అట్లా కాకుండా ఆకలీ , గొడ్డు చాకిరితో సతమతం అవుతుంటే ! ఆమెకు గర్భవతి కావడం భారంగాక ఏమవుతుంది ?"
ఆమె,దీనికి తోడు అలాంటప్పుడు తగిన వైద్య సాయమూ లేకుంటే ఆమె ఏమీ అవుతుంది ?
ఉంటుంది,"బీర , కాకర తీగలయితే పైకి పాకుతాయి , దొండ రెండో ఏడు ఉంటుంది ."
ఉంటుంది,బొప్పాయి పండు తినడానికి రుచిగా ఉంటుంది .
ఉంటుంది,కాయ లావుగా పొడవుగా ఉంటుంది .
ఉంటుంది,లోపల గుజ్జు బాగా ఉంటుంది .
ఉంటుంది,ఏళ్ల తరబడి ఉంటుంది .
ఉంటుంది,ఈ చెట్టు పొట్టిగా ఉంటుంది .
లేదు,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .
లేదు,ఆమె చదువుకోలేదు అనుకోండి .
లేదు,దీనికి పెద్ద చోటు అవసరం లేదు .
లేదు,బొప్పాయి తింటే రేచీకటి దగ్గరకు రాలేదు .
లేదు,అయినా లంకెబిందెలు కనపడలేదు .
లేదు,సోములుకు ఆశ చావలేదు .
నేను,నేను ఎందుకు పని చేయాలి .
నేను,ఏనాటికైనా నేను ధనవంతుడను అవుతాను .
నేను,అని నేను అంటే నా మాట వినడు .
నేను,కానీ నేను ప్రశ్న మళ్లీ పలికించాను .
నేను,నేను ఆలోచించసాగాను .
నేను,"నేను ఆలోచనలలోనే మునిగిపోయాను , నా సిపాయి ఖాసిం రెండు చేతులతో ఏదో సైగ చేశాడు ."
మా,అక్కడ మరణాలు ఆడవాళ్లకూ ణూLL మగవాళ్లకూ సమానం ణూLL .
మా,అక్కడ జనాభాలో ఆడవాళ్లూ ణూLL మగవాళ్లూ సమానం ణూLL .
మా,ఎందుకు అమ్మా ఆడపిల్లను కంటావు .
మా,గర్భంతో ఉన్నప్పుడు మాత్రం ఏదో వైద్య సాయం చేస్తే చాలా ?
మా,అవసరం లేనపుడు కాకుండేందుకు మార్గం ఏదో ఆమెకు తెలిసి .
మా,ఐతే కడుపుతో ఉన్నవాళ్లకివి సోకితే ప్రమాదం ణూLL .
బాగా,"వంగ , టొమాటో మొలకలు బాగా పెరుగుతాయి ."
బాగా,"పాలకూర , గోంగూర , తోటకూర , కొత్తిమీర , పుదీనా బాగా పెరుగుతాయి ."
బాగా,లోపల గుజ్జు బాగా ఉంటుంది .
బాగా,మెలకువగా పాడి చేసుకుంటే దిగుబడి బాగా పెంచుకోవచ్చు .
బాగా,పశువును బాగా కడగాలి .
బాగా,ఒకసారి సోములుకు బాగాలేదు .
ఇది,ఇదిగో మీరంతా ఆరోగ్య కార్యకర్తలు జీతాలు తింటున్నారు .
ఇది,మనసు ఉంటే ఇది చాలా సులభం ణూLL .
ఇది,ఇది ఆరు నెలలలోపే కాపుకు వచ్చే చెట్టు ణూLL .
ఇది,ఇది నిజం కాదు .
ఇది,ఇది ఎవరి చేతిలో లేదు .
ఇది,అంతేగాని ఇది ఎవరి చేతిలో లేదు .
చాలా,చాలా దేశాల్లో ఈ పరిస్థితి లేదు .
చాలా,గర్భంతో ఉన్నప్పుడు మాత్రం ఏదో వైద్య సాయం చేస్తే చాలా ?
చాలా,మనకు చాలా ఆలోచనలు ఉంటాయి .
చాలా,మనసు ఉంటే ఇది చాలా సులభం ణూLL .
చాలా,"బొప్పాయి కాయ , గింజలు , పాలు చాలా జబ్బులు పోగొడతాయి ."
చాలా,మునగ చేసే మేలు మనలో చాలామందికి తెలియదు .
",","బహిష్టు , తెల్లబట్టలాంటివి బయట పెట్టుకోలేక ."
",","తగిన డాక్టర్లూ , నర్సులూ లేకపోవడం ."
",","గర్భవతి అయినప్పుడూ , ఆపరేషను చేయించుకోవాలసినప్పుడేనా వాళ్లకు డాక్టర్లు అవసరమయ్యేది ?"
",","అట్లా కాకుండా ఆకలీ , గొడ్డు చాకిరితో సతమతం అవుతుంటే ! ఆమెకు గర్భవతి కావడం భారంగాక ఏమవుతుంది ?"
",","సరైన ఆహారం లేకపోతే , జాగ్రత్త పడకపోతే ఏ జబ్బైనా ప్రాణం తెస్తుంది ."
",","మగవాళ్లతో సమానమైన కూలి , జీతం ఉండాలి ."
?,మరో సంగతి మీకు తెలుసా ?
?,అందరి ముందూ నా తెల్లబట్ట బాధ ఎలా చెప్పుకొనేది ?
?,ఇట్లా ఎందుకు జరుగుతోంది ?
?,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
?,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
?,ఎందుకు అంటారు ?
ఆ,అయిదేళ్లలోపు ఆడపిల్లలు మరీ ఎక్కువగా చనిపోతున్నారు .
ఆ,అక్కడ మరణాలు ఆడవాళ్లకూ ణూLL మగవాళ్లకూ సమానం ణూLL .
ఆ,అక్కడ జనాభాలో ఆడవాళ్లూ ణూLL మగవాళ్లూ సమానం ణూLL .
ఆ,మరి ఆడవాళ్లు ఎందుకు మాటిమాటికీ రోగాల పాలవుతున్నారు ?
ఆ,ఆడవాళ్లు ఎందుకు ఎక్కువగా చనిపోతున్నారు ?
ఆ,ఆడవాళ్లకు పుష్టికరమైన తిండి దొరకడం తక్కువ ణూLL .
ఉంది,మూడు ఆపిల్ పళ్లలో ఉండే బలం ఒక అరటి పండులో ఉంది .
ఉంది,దీనికొక ఉపాయం ఉంది .
ఉంది,అయితే ఏమీ ఉంది .
ఉంది,గుడి ఉంది .
ఉంది,బడి ఉంది .
ఉంది,చిన్న దవాఖానా ఒకటి ఉంది
అని,చివరకి ఆడదిగా పుట్టడమే శాపం అనిపించడం . ఎంత అసహ్యం ణూLL .
అని,అని సోములు అనేవాడు .
అని,అని అనసూయ అనుకుంది .
అని,అని అనసూయ సోములుతో అంది .
అని,కొడుకు లేకపోవడం లోటు ణూLL అని అందరితో అనేవాడు .
అని,కొడుకుని కనకపోవడం సీతాలుదే తప్పు ణూLL . అని అందరితో అనేవాడు .
